
==============================================================================
GBPUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=48.8% / SHT=51.1% — bars=2981
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C19   Aroon down>70 & up<30           SHT    7730   47.7    -1.0   +0.00  -1.78 
D4    NR7                             LNG    7206   49.0    -1.1   +0.00  -1.83 
B6    BB expanding (>20-med)          LNG   18675   49.4    -0.7   -0.00  -1.87 
C23   PSAR bear                       SHT   19292   47.9    -0.7   -0.00  -2.08 *
C24   ROC10>0                         LNG   19748   49.3    -0.8   +0.00  -2.27 *
C22   PSAR bull                       LNG   19987   49.3    -0.8   +0.00  -2.28 *
C25   ROC10<0                         SHT   19270   47.8    -0.9   -0.00  -2.43 *
C27   ADX>25 & EMA20<50               SHT    8983   47.3    -1.4   +0.00  -2.56 *
C12r  Near 20d LOW REV                SHT   20308   47.8    -0.9   +0.00  -2.57 *
C6    Close<EMA200                    SHT   19154   47.8    -0.9   -0.00  -2.59 *
C18   Aroon up>70 & down<30           LNG    8247   48.6    -1.5   -0.00  -2.78 **
C5    Close>EMA200                    LNG   20125   49.1    -1.0   -0.00  -2.84 **
C26   ADX>25 & EMA20>50               LNG    9082   48.6    -1.5   -0.00  -2.86 **
C8    EMA20<EMA50                     SHT   19201   47.5    -1.2   -0.00  -3.22 **
C7    EMA20>EMA50                     LNG   20078   48.9    -1.2   -0.00  -3.27 **
C11r  Near 20d HIGH REV               LNG   21345   48.9    -1.2   -0.00  -3.45 **
C2    Close<EMA20                     SHT   19119   47.3    -1.4   -0.00  -3.77 **
C1    Close>EMA20                     LNG   20160   48.8    -1.3   -0.00  -3.83 **
C4    Close<EMA50                     SHT   19132   47.3    -1.4   -0.00  -3.96 **
C21   Supertrend bear                 SHT   19502   47.3    -1.4   -0.00  -4.02 **
C20   Supertrend bull                 LNG   19778   48.7    -1.4   -0.00  -4.03 **
C3    Close>EMA50                     LNG   20147   48.7    -1.4   -0.00  -4.05 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
