strategy,entry_time,exit_time,direction,entry,exit,size,risk_dist,pnl,r_mult,reason
London breakout,2024-05-16 08:00:00,2024-05-16 23:00:00,SHORT,2380.8,2377.76,123.6288,13.58,315.25,0.22,eod
London breakout,2024-05-20 08:00:00,2024-05-20 13:00:00,SHORT,2431.85,2431.85,92.7267,18.14,-46.36,-0.0,stop
London breakout,2024-05-21 08:00:00,2024-05-21 23:00:00,LONG,2422.07,2413.9,123.6742,13.59,-1072.38,-0.6,eod
London breakout,2024-05-22 08:00:00,2024-05-22 10:00:00,SHORT,2410.39,2410.39,189.696,8.8,-94.85,-0.0,stop
London breakout,2024-05-22 11:00:00,2024-05-22 11:00:00,SHORT,2410.39,2392.79,189.4805,8.8,3240.49,2.0,tp
London breakout,2024-05-23 09:00:00,2024-05-23 23:00:00,SHORT,2354.86,2330.5,89.6468,18.95,2138.97,1.29,eod
London breakout,2024-05-27 08:00:00,2024-05-27 09:00:00,LONG,2346.08,2346.08,212.0859,8.11,-106.04,0.0,stop
London breakout,2024-05-27 10:00:00,2024-05-27 23:00:00,LONG,2346.08,2350.79,211.8244,8.11,890.3,0.58,eod
London breakout,2024-05-28 08:00:00,2024-05-28 23:00:00,LONG,2353.62,2358.04,128.1173,13.47,502.22,0.33,eod
London breakout,2024-05-29 08:00:00,2024-05-29 23:00:00,SHORT,2340.76,2334.27,84.3262,20.52,505.11,0.32,eod
London breakout,2024-05-30 08:00:00,2024-05-30 23:00:00,LONG,2340.8,2343.59,94.6038,18.34,217.59,0.15,eod
London breakout,2024-06-03 08:00:00,2024-06-03 23:00:00,LONG,2333.13,2345.58,93.8979,18.49,1122.08,0.67,eod
London breakout,2024-06-04 08:00:00,2024-06-04 23:00:00,SHORT,2326.61,2337.05,69.7209,25.06,-762.26,-0.42,eod
London breakout,2024-06-05 08:00:00,2024-06-05 21:00:00,LONG,2341.54,2368.71,127.9789,13.59,3414.48,2.0,tp
London breakout,2024-06-06 08:00:00,2024-06-06 11:00:00,SHORT,2358.4,2371.27,137.7098,12.87,-1841.59,-1.0,stop
London breakout,2024-06-10 08:00:00,2024-06-10 22:00:00,LONG,2298.7,2298.7,158.8437,11.04,-79.42,0.0,stop
London breakout,2024-06-11 08:00:00,2024-06-11 23:00:00,LONG,2308.74,2313.92,157.2328,11.14,735.38,0.46,eod
London breakout,2024-06-12 08:00:00,2024-06-12 08:00:00,LONG,2317.64,2317.64,251.9503,6.98,-125.98,0.0,stop
London breakout,2024-06-12 09:00:00,2024-06-12 09:00:00,LONG,2317.64,2331.6,251.5894,6.98,3386.39,2.0,tp
London breakout,2024-06-12 10:00:00,2024-06-12 11:00:00,LONG,2317.64,2331.6,256.2607,6.98,3449.27,2.0,tp
London breakout,2024-06-13 08:00:00,2024-06-13 08:00:00,LONG,2319.86,2308.86,165.6283,11.0,-1904.73,-1.0,stop
London breakout,2024-06-13 09:00:00,2024-06-13 09:00:00,LONG,2319.86,2308.86,163.8214,11.0,-1883.95,-1.0,stop
London breakout,2024-06-13 10:00:00,2024-06-13 11:00:00,SHORT,2308.86,2308.86,162.0343,11.0,-81.02,-0.0,stop
London breakout,2024-06-17 10:00:00,2024-06-17 11:00:00,LONG,2326.13,2315.36,165.4517,10.76,-1863.48,-1.0,stop
London breakout,2024-06-18 09:00:00,2024-06-18 23:00:00,LONG,2324.69,2328.14,96.6523,18.22,285.8,0.19,eod
London breakout,2024-06-19 08:00:00,2024-06-19 21:00:00,SHORT,2326.68,2334.87,215.2654,8.19,-1871.3,-1.0,stop
London breakout,2024-06-20 09:00:00,2024-06-20 23:00:00,LONG,2345.55,2362.02,123.8551,14.08,1977.1,1.17,eod
London breakout,2024-06-24 09:00:00,2024-06-24 23:00:00,LONG,2332.69,2323.98,146.152,12.06,-1345.04,-0.72,eod
