
==============================================================================
GBPJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=56.7% / SHT=43.3% — bars=1159
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
B10   Close>Keltner high              SHT    4023   48.7    +1.9   -0.01   2.42 *
A9    Williams%R>-20                  SHT    7237   48.0    +1.2   -0.00   2.07 *
A8    Stoch K<20                      LNG    3989   54.0    +1.6   +0.00   1.97 
A12   CCI<-100                        LNG    3116   54.1    +1.7   +0.00   1.90 
A10   Williams%R<-80                  LNG    4653   53.8    +1.4   +0.00   1.87 
C11   Near 20d HIGH                   SHT   14938   47.5    +0.7   -0.01   1.76 
A7    Stoch K>80                      SHT    6638   47.8    +1.0   -0.01   1.68 
B9    Close<Keltner low               LNG    3078   53.9    +1.5   +0.00   1.62 
B2    Close<BB lower                  LNG    1537   54.3    +1.9   +0.01   1.48 
B7    z-score<-2 → long               LNG    1537   54.3    +1.9   +0.01   1.48 
D6    ATR pctile<0.2 (calm)           LNG    6198   53.2    +0.8   +0.01   1.26 
A4    RSI<35                          LNG    2601   53.6    +1.2   -0.00   1.22 
A1    RSI>70                          SHT    1934   48.1    +1.3   +0.00   1.12 
A5    RSI2<10 (Connors)               LNG    7168   53.1    +0.6   +0.01   1.06 
D2    ATR>1.5x med (expanding)        LNG    1052   53.6    +1.2   +0.03   0.76 
H2s   London open 07-09               SHT    3456   47.4    +0.6   +0.00   0.71 
P4    Bearish pin                     SHT    4412   47.3    +0.5   -0.00   0.70 
B11   TTM squeeze on                  LNG    4290   52.9    +0.5   +0.00   0.62 
D4s   NR7                             SHT    4702   47.2    +0.4   -0.01   0.57 
A2    RSI<30                          LNG    1188   53.2    +0.8   -0.01   0.52 
B1    Close>BB upper                  SHT    1773   47.4    +0.6   -0.00   0.47 
B8    z-score>+2 → short              SHT    1773   47.4    +0.6   -0.00   0.47 
C28   ADX<20 & RSI<30 (range OS)      LNG      53   54.7    +2.3   +0.02   0.33 
C19   Aroon down>70 & up<30           SHT    4713   47.0    +0.2   +0.00   0.30 
A11   CCI>+100                        SHT    3795   47.0    +0.2   -0.02   0.23 
D1s   ATR<20-med (compressed)         SHT   14097   46.8    +0.0   -0.00   0.07 
D1    ATR<20-med (compressed)         LNG   14097   52.5    +0.0   +0.00   0.02 
C9    Donchian20 breakout UP          LNG    1982   52.4    -0.1   +0.01  -0.06 
C14   MACD cross down                 SHT    1094   46.7    -0.1   +0.00  -0.07 
A6    RSI2>90 (Connors)               SHT     826   46.6    -0.2   -0.00  -0.12 
B5    BB squeeze (bw 20-low)          LNG    4234   52.2    -0.2   -0.00  -0.26 
C29   ADX<20 & RSI>70 (range OB)      SHT     138   45.7    -1.2   -0.02  -0.27 
C22   PSAR bull                       LNG   14642   52.3    -0.1   +0.01  -0.29 
B1r   Close>BB upper REV              LNG    1773   52.1    -0.4   +0.00  -0.32 
P3    Bullish pin (tail≥2.5body)      LNG    4770   52.2    -0.3   +0.01  -0.39 
